name,category,target_node,route,route_length_m,route_time_s,mean_abs_grade,within_5min,within_10min
Vivekananda Ashrama,heritage,13592875698,"[4608981716, 4608979734, 4608979736, 13592875699, 12063680243, 12063680244, 13592875686, 13592875698]",172.67883004406502,180.38537328573065,0.06647035187791552,True,True
Zion Lutheran Church,heritage,5735922058,"[4608981716, 4608981717, 4608983681, 4608983682, 13592889606, 11256443233, 13592875689, 11256510540, 12063680185, 12063680176, 12063680177, 11256510538, 5735922059, 10291757257, 5735922058]",336.13063414578187,311.8897448338056,0.07082052888144665,False,True
Buddhist Maha Vihara,heritage,5735922051,"[4608981716, 4608981717, 4608983681, 13592889610, 1804874428, 11256510547, 5738456715, 11256510545, 13592889635, 13592889633, 7258993300, 478542020, 4608979770, 7258993299, 13229883780, 13232475214, 13229883777, 12943588218, 5735922055, 5735922051]",441.03254170737455,427.17502306563057,0.07459261356951796,False,True
Tun Sambanthan Monorail Station,transport_hub,12695625092,"[4608981716, 4608979735, 4608981709, 4608981705, 1515044062, 4769201070, 7051199931, 13416065808, 12943504347, 475483419, 4769201047, 4769201063, 478860890, 13416065824, 12695625088, 12695625092]",466.27792800576043,427.2792873290087,0.04603918085516913,False,True
KL Sentral Monorail Station,transport_hub,4619870925,"[4608981716, 4608979734, 4608979736, 13592875699, 12063680243, 12063680244, 13592875686, 12063680245, 4624513309, 12089814606, 5273884251, 12506947054, 13592970059, 12089814608, 13592970045, 6148809811, 6148809813, 12504101036, 9504210027, 6148809814, 4619870925]",568.9233121194832,552.6450283673422,0.06210812362008209,False,True
NU Sentral,transport_hub,11292459138,"[4608981716, 4608979734, 4608979736, 13592875699, 7610872217, 1515044073, 10996608761, 7610872226, 1585270584, 13571387181, 7282699634, 11292459138]",631.9768061914035,612.958226566873,0.06502730432273748,False,False
Sam Kow Tong Temple,heritage,5735922025,"[4608981716, 4608979734, 4608979736, 13592875699, 12063680243, 12063680244, 13592875686, 12063680245, 4624513309, 12089814606, 5273884251, 12506947054, 13592970059, 13592970043, 13592970044, 13592970039, 13592970038, 5735922032, 3307418498, 3307418495, 4618622203, 5228263377, 4618620986, 5733042409, 5735922025]",767.6959879292825,713.2767624968359,0.050916418107558044,False,False
YMCA Building,heritage,13638800226,"[4608981716, 4608979734, 4608979736, 13592875699, 12063680243, 12063680244, 13592875686, 12063680245, 4624513309, 12089814606, 5273884251, 12506947054, 13592970059, 12089814608, 13592970045, 6148809811, 6148809813, 12504101036, 9504210027, 6148809814, 6148809817, 7045774140, 4619870914, 10292720604, 10292741116, 11749648657, 13496748446, 13638800226]",789.1506327719412,739.4174231627202,0.06432881327596554,False,False
KL Sentral,transport_hub,7512814177,"[4608981716, 4608979734, 4608979736, 13592875699, 7610872217, 1515044073, 10996608761, 7610872226, 1585270584, 13571387181, 7282699634, 11292459138, 11924026409, 11292459140, 11292459145, 7512814177]",884.7029224108642,919.7206293253087,0.1232030369204687,False,False
Holy Rosary Church,heritage,12640983027,"[4608981716, 4608979734, 4608979736, 13592875699, 12063680243, 12063680244, 13592875686, 12063680245, 4624513309, 12089814606, 5273884251, 12506947054, 13592970059, 12089814608, 13592970045, 6148809811, 6148809813, 12504101036, 9504210027, 6148809814, 6148809817, 7045774140, 4619870914, 7282884806, 4619870916, 4945780440, 13418031290, 665673650, 4945780445, 4945780459, 11909331636, 665673619, 7282969975, 5732934548, 5732934543, 8358711143, 7045903931, 12640983027]",1388.8493589244301,1307.4031845317857,0.0585766320817912,False,False
Sri Kandaswamy Temple,heritage,12247968785,"[4608981716, 4608979734, 4608979736, 13592875699, 12063680243, 12063680244, 13592875686, 12063680245, 4624513309, 12089814606, 5273884251, 12506947054, 13592970059, 13592970043, 13592970044, 13592970039, 13592970038, 5735922032, 3307418498, 3307418495, 4618622203, 5228263377, 4618620986, 4608991282, 9206735638, 10284230340, 4608991283, 4608993464, 665673336, 4608993458, 1812266326, 11443497175, 11749648649, 13159830580, 4619790149, 13338301000, 13338300991, 13338300982, 13338357101, 13338352304, 12638750003, 7045518905, 12320337139, 7048222583, 5733042403, 12466843645, 12247974703, 12466843643, 5733042417, 12247968789, 12247974702, 12247968785]",1383.8778287893513,1309.0442639737364,0.04875368529780463,False,False
Muzium Negara MRT Station,transport_hub,13415406071,"[4608981716, 4608979734, 4608979736, 13592875699, 7610872217, 1515044073, 10996608761, 7610872226, 1585270584, 1514642628, 13571387179, 13571387178, 6148809828, 10542582092, 6148809827, 10542582103, 6148809826, 12533394071, 6148809822, 12533394070, 10542582100, 4768666819, 13571602824, 11749673973, 4619870922, 13476200207, 11749648664, 11749648665, 11749673972, 11749673983, 6148838482, 13359163618, 9207394279, 13359163619, 7250853792, 11909331633, 8358695593, 8358695584, 8358695583, 7045561584, 2640393314, 4742745117, 4742745116, 677404102, 7217517456, 2640393279, 5732934549, 13415406071]",1969.90630012281,1906.3035162670596,0.05701232448762707,False,False
