jalan,green_view_index_mean,sky_visibility_index_mean,street_enclosure_index_mean,openness_index_mean,visual_diversity_index_mean,walkability_visual_index_mean,view_quality_score_mean,view_quality_score_max,view_quality_score_count,final_top_view_score_mean,width_height_ratio_mean
Jalan Ang Seng,0.20523903677983538,0.30118750803755145,0.2958989398469651,0.36275921907150205,0.7139519292675066,0.3270815911940586,0.24324249618024948,0.2623773304650627,3,0.8214486261424493,
Jalan Berhala,0.29741663049768513,0.20859105742026748,0.28824621632265945,0.297816046569573,0.5989067219219871,0.33563158978748714,0.22233660869339067,0.254580751019632,3,0.7385810556594747,
Jalan Chan Ah Tong,0.3056547255015432,0.08207001723251028,0.39507251739326127,0.17376643488297328,0.6612638399732506,0.31353961466370883,0.18588524348930033,0.1980300903307256,3,0.6668832485667696,
Jalan Rozario,0.13054335857124486,0.2537496182163066,0.307595415782536,0.29291262578768,0.6945029747890085,0.2791424816743827,0.19451958157875507,0.20639602601816825,3,0.6645006617223089,
Jalan Scott,0.12709066759902263,0.21124069653420782,0.25266786426183124,0.2493678968139146,0.6946529927032823,0.24308357847865225,0.17239107579431692,0.1755407705393866,3,0.5297965910451151,0.7222222222222222
Jalan Sultan Abdul Samad,0.10408333567761918,0.3572037517615634,0.2814454464591907,0.38842875246484915,0.5795951495075784,0.3039726974843134,0.20782012793306515,0.223325410064457,3,0.7494481424322298,
Jalan Thambipillay,0.1823445738490226,0.1990846233603395,0.299671012972608,0.25378799551504627,0.684700173923062,0.29673500594778807,0.19148346109681835,0.20468635194195445,3,0.6399951324369736,
Jalan Travers / Jalan Rakyat,0.32427818769290123,0.20215635448816874,0.3118234792952675,0.2994398107960391,0.6562594766610684,0.3753003592785494,0.2504466762895409,0.2634212023722028,3,0.863328233097854,
Jalan Tun Sambanthan,0.373241785622428,0.15917064525462962,0.377088035300926,0.271143180941358,0.6430372294098866,0.3698059674800669,0.2416167803187618,0.24791715140098686,3,0.8546410753924952,
Lorong Chan Ah Tong,0.3056547255015432,0.08207001723251028,0.39507251739326127,0.17376643488297328,0.6612638399732506,0.31353961466370883,0.18588524348930033,0.1980300903307256,3,0.6668832485667696,
